Year,Month,Day,Date,State,Strength,Injuries,Fatalities,Entire Event,State Segment
1950,5,7,5/7/1950,OK,2,3,0,TRUE,TRUE
1950,5,7,5/7/1950,OK,1,0,0,TRUE,TRUE
1950,5,8,5/8/1950,SD,1,0,0,TRUE,TRUE
1950,5,8,5/8/1950,FL,1,0,0,TRUE,TRUE
1950,5,8,5/8/1950,KS,2,0,0,TRUE,TRUE
1950,5,8,5/8/1950,KS,2,1,0,TRUE,TRUE
1950,5,8,5/8/1950,IA,2,0,0,TRUE,TRUE
1950,5,8,5/8/1950,KS,2,2,0,TRUE,TRUE
1950,5,8,5/8/1950,KS,1,1,0,TRUE,TRUE
1950,5,8,5/8/1950,KS,1,0,0,TRUE,TRUE
1950,5,8,5/8/1950,NE,2,1,0,TRUE,TRUE
1950,5,9,5/9/1950,KS,-9,0,0,TRUE,TRUE
1950,5,9,5/9/1950,OK,1,0,0,TRUE,TRUE
1950,5,10,5/10/1950,WY,2,0,0,TRUE,TRUE
1950,5,11,5/11/1950,OK,1,0,0,TRUE,TRUE
1950,5,12,5/12/1950,NC,1,0,0,TRUE,TRUE
1950,5,12,5/12/1950,NC,1,0,0,TRUE,TRUE
1950,5,12,5/12/1950,NC,0,0,0,TRUE,TRUE
1950,5,13,5/13/1950,LA,1,0,0,TRUE,TRUE
1950,5,14,5/14/1950,TX,1,0,0,TRUE,TRUE
1950,5,14,5/14/1950,NC,1,0,0,TRUE,TRUE
1950,5,14,5/14/1950,NC,2,5,0,TRUE,TRUE
1950,5,15,5/15/1950,TX,2,0,0,TRUE,TRUE
1950,5,15,5/15/1950,FL,1,0,0,TRUE,TRUE
1950,5,15,5/15/1950,FL,2,0,0,TRUE,TRUE
1950,5,16,5/16/1950,KS,2,0,0,TRUE,TRUE
1950,5,16,5/16/1950,OK,1,1,0,TRUE,TRUE
1950,5,18,5/18/1950,NE,1,0,0,TRUE,TRUE
1950,5,18,5/18/1950,KS,3,2,0,TRUE,TRUE
1950,5,18,5/18/1950,KS,0,0,0,TRUE,TRUE
1950,5,19,5/19/1950,KS,0,0,0,TRUE,TRUE
1950,5,22,5/22/1950,OK,1,0,0,TRUE,TRUE
1950,5,23,5/23/1950,KS,0,0,0,TRUE,TRUE
1950,5,24,5/24/1950,KS,2,1,0,TRUE,TRUE
1950,5,24,5/24/1950,KS,1,0,0,TRUE,TRUE
1950,5,24,5/24/1950,OK,2,2,0,TRUE,TRUE
1950,5,25,5/25/1950,TX,1,0,0,TRUE,TRUE
1950,5,29,5/29/1950,OK,1,0,0,TRUE,TRUE
1950,5,29,5/29/1950,TX,1,0,0,TRUE,TRUE
1950,5,29,5/29/1950,LA,1,13,0,TRUE,TRUE
1950,5,29,5/29/1950,LA,1,0,0,TRUE,TRUE
1950,5,30,5/30/1950,GA,1,0,0,TRUE,TRUE
1950,5,31,5/31/1950,NC,1,0,0,TRUE,TRUE
1950,6,3,6/3/1950,MS,3,1,2,TRUE,TRUE
1950,6,4,6/4/1950,GA,0,0,0,TRUE,TRUE
1950,6,4,6/4/1950,GA,1,1,0,TRUE,TRUE
1950,6,5,6/5/1950,TX,3,6,0,TRUE,TRUE
1950,6,5,6/5/1950,TX,1,2,0,TRUE,TRUE
1950,6,7,6/7/1950,WY,1,0,0,TRUE,TRUE
1950,6,7,6/7/1950,GA,1,0,0,TRUE,TRUE
1950,6,8,6/8/1950,KS,4,5,1,TRUE,TRUE
1950,6,9,6/9/1950,MO,1,0,0,TRUE,TRUE
1950,6,9,6/9/1950,OK,1,0,0,TRUE,TRUE
1950,6,13,6/13/1950,IL,1,0,0,TRUE,TRUE
1950,6,13,6/13/1950,ND,3,0,0,TRUE,TRUE
1950,6,13,6/13/1950,NE,2,101,0,TRUE,TRUE
1950,6,14,6/14/1950,WY,1,0,0,TRUE,TRUE
1950,6,14,6/14/1950,ND,3,0,0,TRUE,TRUE
1950,6,15,6/15/1950,MO,1,0,0,TRUE,TRUE
1950,6,15,6/15/1950,MN,2,4,0,TRUE,TRUE
1950,6,15,6/15/1950,IA,3,5,0,TRUE,TRUE
1950,6,16,6/16/1950,KS,1,0,0,TRUE,TRUE
1950,6,19,6/19/1950,TX,0,0,0,TRUE,TRUE
1950,6,22,6/22/1950,NE,0,0,0,TRUE,TRUE
1950,6,25,6/25/1950,KS,0,0,0,TRUE,TRUE
1950,6,25,6/25/1950,WI,-9,0,0,TRUE,TRUE
1950,6,25,6/25/1950,WI,2,0,0,TRUE,TRUE
1950,6,25,6/25/1950,WI,2,0,1,TRUE,TRUE
1950,6,25,6/25/1950,WI,4,12,2,TRUE,TRUE
1950,6,25,6/25/1950,KS,0,0,0,TRUE,TRUE
1950,6,25,6/25/1950,WI,3,0,0,TRUE,TRUE
1950,7,1,7/1/1950,KS,2,0,0,TRUE,TRUE
1950,7,1,7/1/1950,KS,1,1,0,TRUE,TRUE
1950,7,1,7/1/1950,IA,2,0,0,TRUE,TRUE
1950,7,2,7/2/1950,KS,2,0,0,TRUE,TRUE
1950,7,3,7/3/1950,IN,-9,0,0,TRUE,TRUE
1950,7,5,7/5/1950,PA,2,2,0,TRUE,TRUE
1950,7,5,7/5/1950,PA,2,0,0,TRUE,TRUE
1950,7,8,7/8/1950,KS,1,0,0,TRUE,TRUE
1950,7,11,7/11/1950,NM,1,0,0,TRUE,TRUE
1950,7,12,7/12/1950,CT,2,0,0,TRUE,TRUE
1950,7,14,7/14/1950,CT,2,3,0,TRUE,TRUE
1950,7,15,7/15/1950,NE,4,33,0,TRUE,TRUE
1950,7,16,7/16/1950,IL,1,0,0,TRUE,TRUE
1950,7,18,7/18/1950,KS,1,0,0,TRUE,TRUE
1950,7,19,7/19/1950,IN,1,0,0,TRUE,TRUE
1950,7,19,7/19/1950,OH,3,30,0,TRUE,TRUE
1950,7,19,7/19/1950,OH,2,0,0,TRUE,TRUE
1950,7,19,7/19/1950,MO,1,0,0,TRUE,TRUE
1950,7,19,7/19/1950,IN,2,0,0,TRUE,TRUE
1950,7,22,7/22/1950,CO,-9,0,0,TRUE,TRUE
1950,7,24,7/24/1950,PA,0,0,0,TRUE,TRUE
1950,7,26,7/26/1950,NC,1,0,0,TRUE,TRUE
1950,7,27,7/27/1950,NC,1,0,0,TRUE,TRUE
1950,8,2,8/2/1950,NM,1,0,0,TRUE,TRUE
1950,8,5,8/5/1950,CO,2,1,0,TRUE,TRUE
1950,8,6,8/6/1950,KS,1,0,0,TRUE,TRUE
1950,8,6,8/6/1950,KS,2,0,0,TRUE,TRUE
1950,8,6,8/6/1950,KS,2,0,0,TRUE,TRUE
1950,8,8,8/8/1950,MO,1,0,0,TRUE,TRUE
1950,8,9,8/9/1950,WV,1,0,0,TRUE,TRUE
1950,8,11,8/11/1950,MD,1,0,0,TRUE,TRUE
1950,8,24,8/24/1950,AR,2,7,0,TRUE,TRUE
1950,8,28,8/28/1950,KS,1,0,0,TRUE,TRUE
1950,8,29,8/29/1950,PA,1,0,0,TRUE,TRUE
1950,8,30,8/30/1950,FL,1,0,0,TRUE,TRUE
1950,8,31,8/31/1950,FL,-9,0,0,TRUE,TRUE
1950,9,15,9/15/1950,OK,2,6,0,TRUE,TRUE
1950,9,16,9/16/1950,OK,0,0,0,TRUE,TRUE
1950,9,21,9/21/1950,NE,1,0,0,TRUE,TRUE
1950,10,1,10/1/1950,OK,1,0,0,TRUE,TRUE
1950,10,9,10/9/1950,NC,3,3,0,TRUE,TRUE
1950,11,4,11/4/1950,PA,3,1,0,TRUE,TRUE
1950,11,20,11/20/1950,KY,2,0,0,TRUE,TRUE
1950,11,20,11/20/1950,KY,1,0,0,TRUE,TRUE
1950,11,20,11/20/1950,MS,1,3,0,TRUE,TRUE
1950,12,2,12/2/1950,IL,2,3,1,TRUE,TRUE
1950,12,2,12/2/1950,IL,3,25,2,TRUE,TRUE
1950,12,2,12/2/1950,AR,3,0,0,TRUE,TRUE
1950,12,2,12/2/1950,IL,1,0,0,TRUE,TRUE
1951,1,6,1/6/1951,LA,3,11,0,TRUE,TRUE
1951,1,11,1/11/1951,CA,2,0,0,TRUE,TRUE
1951,2,1,2/1/1951,VA,1,0,0,TRUE,TRUE
1951,2,6,2/6/1951,LA,1,0,0,TRUE,TRUE
1951,2,6,2/6/1951,LA,1,0,0,TRUE,TRUE
1951,2,19,2/19/1951,OK,2,5,0,TRUE,TRUE
1951,2,19,2/19/1951,OK,0,0,0,TRUE,TRUE
1951,2,20,2/20/1951,AR,2,3,0,TRUE,TRUE
1951,2,20,2/20/1951,MS,3,1,1,TRUE,TRUE
1951,2,20,2/20/1951,MS,1,0,0,TRUE,TRUE
1951,2,20,2/20/1951,AL,2,2,0,TRUE,TRUE
1951,2,20,2/20/1951,KY,2,0,0,TRUE,TRUE
1951,3,2,3/2/1951,KS,-9,0,0,TRUE,TRUE
1951,3,2,3/2/1951,KS,-9,0,0,TRUE,TRUE
1951,3,12,3/12/1951,FL,2,0,0,TRUE,TRUE
1951,3,28,3/28/1951,TX,1,0,0,TRUE,TRUE
1951,3,29,3/29/1951,IN,2,2,0,TRUE,TRUE
1951,3,30,3/30/1951,PA,1,0,0,TRUE,TRUE
1951,4,5,4/5/1951,OK,2,0,0,TRUE,TRUE
1951,4,5,4/5/1951,OK,2,2,0,TRUE,TRUE
1951,4,5,4/5/1951,OK,2,2,0,TRUE,TRUE
1951,4,20,4/20/1951,TX,2,0,0,TRUE,TRUE
1951,4,20,4/20/1951,KS,0,0,0,TRUE,TRUE
1951,4,21,4/21/1951,MS,1,0,0,TRUE,TRUE
1951,4,21,4/21/1951,LA,0,2,0,TRUE,TRUE
1951,4,21,4/21/1951,LA,0,1,0,TRUE,TRUE
1951,4,21,4/21/1951,MS,3,16,2,TRUE,TRUE
1951,4,24,4/24/1951,OK,0,0,0,TRUE,TRUE
1951,4,24,4/24/1951,OK,1,0,0,TRUE,TRUE
1951,4,24,4/24/1951,OK,1,0,0,TRUE,TRUE
1951,4,26,4/26/1951,KS,0,0,0,TRUE,TRUE
1951,4,26,4/26/1951,KS,1,0,0,TRUE,TRUE
1951,4,26,4/26/1951,OK,1,0,0,TRUE,TRUE
1951,4,26,4/26/1951,KS,0,0,0,TRUE,TRUE
1951,4,26,4/26/1951,KS,1,0,0,TRUE,TRUE
1951,4,27,4/27/1951,OK,1,2,0,TRUE,TRUE
1951,4,28,4/28/1951,OH,2,5,0,TRUE,TRUE
1951,4,29,4/29/1951,NJ,1,2,0,TRUE,TRUE
1951,4,30,4/30/1951,KS,3,0,0,TRUE,TRUE
1951,4,30,4/30/1951,NE,1,0,0,TRUE,TRUE
1951,4,30,4/30/1951,OK,1,0,0,TRUE,TRUE
1951,4,30,4/30/1951,OK,3,0,0,TRUE,TRUE
1951,4,30,4/30/1951,OK,2,0,0,TRUE,TRUE
1951,4,30,4/30/1951,KS,-9,0,0,TRUE,TRUE
1951,5,2,5/2/1951,KS,1,0,0,TRUE,TRUE
1951,5,2,5/2/1951,KS,1,0,0,TRUE,TRUE
1951,5,3,5/3/1951,MI,2,0,0,TRUE,TRUE
1951,5,8,5/8/1951,KS,1,0,0,TRUE,TRUE
1951,5,9,5/9/1951,KS,1,0,0,TRUE,TRUE
1951,5,9,5/9/1951,TX,2,0,0,TRUE,TRUE
1951,5,9,5/9/1951,OK,1,0,0,TRUE,TRUE
1951,5,9,5/9/1951,OK,2,1,0,TRUE,TRUE
1951,5,9,5/9/1951,KS,0,0,0,TRUE,TRUE
1951,5,11,5/11/1951,PA,2,1,0,TRUE,TRUE
1951,5,11,5/11/1951,VA,1,0,0,TRUE,TRUE
1951,5,13,5/13/1951,NE,0,0,0,TRUE,TRUE
1951,5,13,5/13/1951,KS,1,0,0,TRUE,TRUE
1951,5,14,5/14/1951,KS,2,0,0,TRUE,TRUE
1951,5,14,5/14/1951,OK,2,0,0,TRUE,TRUE
1951,5,14,5/14/1951,OK,2,0,0,TRUE,TRUE
1951,5,14,5/14/1951,KS,2,0,0,TRUE,TRUE
1951,5,14,5/14/1951,KS,3,4,0,TRUE,TRUE
1951,5,15,5/15/1951,TX,1,0,0,TRUE,TRUE
1951,5,16,5/16/1951,OK,0,0,0,TRUE,TRUE
1951,5,17,5/17/1951,CO,-9,0,0,TRUE,TRUE
1951,5,18,5/18/1951,TX,4,100,2,TRUE,TRUE
1951,5,18,5/18/1951,OK,1,0,0,TRUE,TRUE
1951,5,18,5/18/1951,OK,1,0,0,TRUE,TRUE
1951,5,18,5/18/1951,OK,1,0,0,TRUE,TRUE
1951,5,19,5/19/1951,OK,1,0,0,TRUE,TRUE
1951,5,19,5/19/1951,OK,2,0,0,TRUE,TRUE
1951,5,19,5/19/1951,OK,0,0,0,TRUE,TRUE
1951,5,20,5/20/1951,CO,0,0,0,TRUE,TRUE
1951,5,20,5/20/1951,CO,1,0,0,TRUE,TRUE
1951,5,20,5/20/1951,CO,0,0,0,TRUE,TRUE
1951,5,20,5/20/1951,KS,3,0,0,TRUE,TRUE
1951,5,20,5/20/1951,KS,2,0,0,TRUE,TRUE
1951,5,20,5/20/1951,KS,3,0,0,TRUE,TRUE
1951,5,21,5/21/1951,KS,2,0,0,TRUE,TRUE
1951,5,21,5/21/1951,KS,1,0,0,TRUE,TRUE
1951,5,23,5/23/1951,GA,1,0,0,TRUE,TRUE
1951,5,23,5/23/1951,GA,2,0,0,TRUE,TRUE
1951,5,24,5/24/1951,TX,1,0,1,TRUE,TRUE
1951,5,25,5/25/1951,KS,1,0,0,TRUE,TRUE
1951,5,25,5/25/1951,KS,3,0,1,TRUE,TRUE
1951,5,25,5/25/1951,KS,2,0,0,TRUE,TRUE
1951,5,25,5/25/1951,MO,1,0,0,TRUE,TRUE
1951,5,26,5/26/1951,FL,1,0,3,TRUE,TRUE
1951,5,26,5/26/1951,FL,-9,0,0,TRUE,TRUE
1951,5,30,5/30/1951,NE,2,7,0,TRUE,TRUE
1951,5,30,5/30/1951,NE,1,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,1,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,-9,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,-9,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,1,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,-9,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,0,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,1,0,0,TRUE,TRUE
1951,5,30,5/30/1951,KS,-9,0,0,TRUE,TRUE
1951,5,31,5/31/1951,TX,1,0,0,TRUE,TRUE
1951,5,31,5/31/1951,KS,2,0,0,TRUE,TRUE
1951,6,1,6/1/1951,MI,1,1,0,TRUE,TRUE
1951,6,1,6/1/1951,KS,1,0,0,TRUE,TRUE
1951,6,1,6/1/1951,IA,3,7,0,TRUE,TRUE
1951,6,5,6/5/1951,NM,0,0,0,TRUE,TRUE
1951,6,5,6/5/1951,OK,2,0,0,TRUE,TRUE
1951,6,6,6/6/1951,CO,2,1,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,2,3,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,1,0,0,TRUE,TRUE
1951,6,6,6/6/1951,TX,-9,0,0,TRUE,TRUE
1951,6,6,6/6/1951,TX,-9,0,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,-9,0,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,-9,0,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,-9,0,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,3,3,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,-9,0,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,1,0,0,TRUE,TRUE
1951,6,6,6/6/1951,TX,3,12,0,TRUE,TRUE
1951,6,6,6/6/1951,TX,0,0,0,TRUE,TRUE
1951,6,6,6/6/1951,TX,2,0,0,TRUE,TRUE
1951,6,6,6/6/1951,OK,0,0,0,TRUE,TRUE
1951,6,6,6/6/1951,KS,1,0,0,TRUE,TRUE
1951,6,6,6/6/1951,OK,2,0,0,TRUE,TRUE
1951,6,7,6/7/1951,OK,2,0,0,TRUE,TRUE
1951,6,7,6/7/1951,OK,1,1,0,TRUE,TRUE
1951,6,7,6/7/1951,OK,2,1,0,TRUE,TRUE
1951,6,8,6/8/1951,AL,2,2,0,TRUE,TRUE
1951,6,8,6/8/1951,KS,1,0,0,TRUE,TRUE
1951,6,8,6/8/1951,KS,2,0,0,TRUE,TRUE
1951,6,8,6/8/1951,MO,1,0,0,TRUE,TRUE
1951,6,8,6/8/1951,OK,3,0,0,TRUE,TRUE
1951,6,8,6/8/1951,OK,1,0,0,TRUE,TRUE
1951,6,8,6/8/1951,OK,1,0,0,TRUE,TRUE
1951,6,9,6/9/1951,MS,-9,0,0,TRUE,TRUE
1951,6,9,6/9/1951,NC,1,0,0,TRUE,TRUE
1951,6,13,6/13/1951,VA,2,12,0,TRUE,TRUE
1951,6,13,6/13/1951,NC,1,0,0,TRUE,TRUE
1951,6,14,6/14/1951,ND,-9,0,0,TRUE,TRUE
1951,6,14,6/14/1951,CO,1,0,0,TRUE,TRUE
1951,6,15,6/15/1951,KS,0,0,0,TRUE,TRUE
1951,6,15,6/15/1951,TX,1,6,0,TRUE,TRUE
1951,6,16,6/16/1951,TX,2,0,0,TRUE,TRUE
1951,6,17,6/17/1951,KS,-9,0,0,TRUE,TRUE
1951,6,17,6/17/1951,KS,0,0,0,TRUE,TRUE
1951,6,17,6/17/1951,KS,-9,0,0,TRUE,TRUE
1951,6,17,6/17/1951,KS,-9,0,0,TRUE,TRUE
1951,6,18,6/18/1951,CO,-9,0,0,TRUE,TRUE
1951,6,19,6/19/1951,IA,1,0,0,TRUE,TRUE
1951,6,19,6/19/1951,MN,4,20,1,TRUE,TRUE
1951,6,19,6/19/1951,NE,1,0,0,TRUE,TRUE
1951,6,19,6/19/1951,KS,-9,0,0,TRUE,TRUE
1951,6,19,6/19/1951,WI,2,0,0,TRUE,TRUE
1951,6,20,6/20/1951,KS,2,0,0,TRUE,TRUE
1951,6,20,6/20/1951,KS,1,0,0,TRUE,TRUE
1951,6,20,6/20/1951,OK,1,0,0,TRUE,TRUE
1951,6,21,6/21/1951,KS,-9,0,0,TRUE,TRUE
1951,6,21,6/21/1951,OK,1,0,0,TRUE,TRUE
1951,6,21,6/21/1951,IN,3,4,0,TRUE,TRUE
1951,6,21,6/21/1951,KS,2,0,0,TRUE,TRUE
1951,6,22,6/22/1951,KS,-9,0,0,TRUE,TRUE
1951,6,22,6/22/1951,OH,2,0,0,TRUE,TRUE
1951,6,23,6/23/1951,KS,2,5,1,TRUE,TRUE
1951,6,23,6/23/1951,KS,-9,0,1,TRUE,TRUE
1951,6,24,6/24/1951,SC,1,0,0,TRUE,TRUE
1951,6,25,6/25/1951,MN,2,0,0,TRUE,TRUE
1951,6,25,6/25/1951,NE,2,1,0,TRUE,TRUE
1951,6,25,6/25/1951,IA,2,8,0,TRUE,TRUE
1951,6,25,6/25/1951,CO,1,1,0,TRUE,TRUE
1951,6,26,6/26/1951,WV,1,1,0,TRUE,TRUE
1951,6,26,6/26/1951,MI,1,0,0,TRUE,TRUE
1951,6,27,6/27/1951,KS,4,100,5,TRUE,TRUE
1951,6,27,6/27/1951,KS,1,0,0,TRUE,TRUE
1951,6,27,6/27/1951,OH,1,0,0,TRUE,TRUE
1951,6,27,6/27/1951,VA,1,0,0,TRUE,TRUE
1951,6,27,6/27/1951,IL,3,35,0,TRUE,TRUE
1951,6,27,6/27/1951,IL,3,15,1,TRUE,TRUE
1951,6,27,6/27/1951,PA,2,0,0,TRUE,TRUE
1951,7,2,7/2/1951,TX,2,0,0,TRUE,TRUE
1951,7,3,7/3/1951,WI,2,0,0,TRUE,TRUE
1951,7,4,7/4/1951,MO,2,1,0,TRUE,TRUE
1951,7,4,7/4/1951,KS,-9,0,0,TRUE,TRUE
1951,7,6,7/6/1951,NC,1,0,0,TRUE,TRUE
1951,7,7,7/7/1951,NE,0,0,0,TRUE,TRUE
1951,7,7,7/7/1951,KS,2,0,0,TRUE,TRUE
1951,7,8,7/8/1951,SD,2,1,0,TRUE,TRUE
1951,7,8,7/8/1951,MO,2,0,0,TRUE,TRUE
1951,7,9,7/9/1951,IN,2,0,0,TRUE,TRUE
1951,7,9,7/9/1951,MO,1,0,0,TRUE,TRUE
1951,7,13,7/13/1951,NE,0,0,0,TRUE,TRUE
1951,7,15,7/15/1951,OK,0,0,0,TRUE,TRUE
1951,7,15,7/15/1951,OK,0,0,0,TRUE,TRUE
1951,7,15,7/15/1951,OK,2,0,0,TRUE,TRUE
1951,7,17,7/17/1951,IA,1,2,0,TRUE,TRUE
1951,7,20,7/20/1951,SD,2,4,0,TRUE,TRUE
1951,7,20,7/20/1951,MN,3,40,5,TRUE,TRUE
1951,7,21,7/21/1951,PA,0,0,0,TRUE,TRUE
1951,7,21,7/21/1951,MI,2,0,0,TRUE,TRUE
1951,7,22,7/22/1951,KS,-9,0,0,TRUE,TRUE
1951,7,22,7/22/1951,FL,2,0,0,TRUE,TRUE
1951,7,27,7/27/1951,OK,1,0,0,TRUE,TRUE
1951,8,6,8/6/1951,KS,-9,0,0,TRUE,TRUE
1951,8,7,8/7/1951,KS,1,0,0,TRUE,TRUE
1951,8,7,8/7/1951,KS,-9,0,0,TRUE,TRUE
1951,8,8,8/8/1951,NE,1,0,0,TRUE,TRUE
1951,8,9,8/9/1951,NC,2,0,0,TRUE,TRUE
1951,8,10,8/10/1951,OK,1,2,0,TRUE,TRUE
1951,8,10,8/10/1951,NM,0,0,0,TRUE,TRUE
1951,8,10,8/10/1951,KS,-9,0,0,TRUE,TRUE
1951,8,13,8/13/1951,KS,-9,0,0,TRUE,TRUE
1951,8,13,8/13/1951,KS,-9,0,0,TRUE,TRUE
1951,8,14,8/14/1951,ND,1,0,0,TRUE,TRUE
1951,8,15,8/15/1951,MI,1,0,0,TRUE,TRUE
1951,8,15,8/15/1951,MI,1,0,0,TRUE,TRUE
1951,8,15,8/15/1951,MI,2,0,0,TRUE,TRUE
1951,8,20,8/20/1951,CT,2,0,0,TRUE,TRUE
1951,8,21,8/21/1951,MA,2,0,0,TRUE,TRUE
1951,8,21,8/21/1951,NH,2,0,0,TRUE,TRUE
